Altium Designer Pick and Place Locations
E:\YandexDisk\Eagle\¬‡Î‰ËÒ\Projektπ276 (Panel 436-5002)\Projektπ\Project Outputs for Panel 420-5005-S\Pick Place\Panel 436-5002_R.csv

========================================================================================================================
File Design Information:

Date:       25.10.24
Time:       00:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D6","RB521SM-60TR","TopLayer","SOD523","59.6000mm","10.5500mm","90","DIODE SCHOTTKY BARRIER 30V 30MA SOD523"
"D4","RB521SM-60TR","TopLayer","SOD523","43.1000mm","14.7000mm","180","DIODE SCHOTTKY BARRIER 30V 30MA SOD523"
"U10","MCP1799T-5002H/TT","TopLayer","SOT23","29.2000mm","12.7000mm","90",""
"D9","SL310A-TP","TopLayer","DO-214AC_(SMA)_-2_layer","78.9250mm","20.8750mm","0","DIODE SCHOTTKY 100V 3A DO214AC"
"D2","SMAJ36CA-E3/61","TopLayer","DO-214AC_(SMA)","4.4000mm","14.8000mm","0",""
"D1","SL310A-TP","TopLayer","DO-214AC_(SMA)","20.9000mm","9.7000mm","180",""
"D10","BAT46GWX","TopLayer","SOD123","85.2000mm","17.1000mm","90","SMD-SOT123 60V 15mA 2.2pF 1nS"
"D8","BAT46GWX","TopLayer","SOD123","15.3000mm","26.1000mm","180","SMD-SOT123 60V 15mA 2.2pF 1nS"
"D5","RB521SM-60TR","TopLayer","SOD523","43.8000mm","10.4000mm","180","DIODE SCHOTTKY BARRIER 30V 30MA SOD523"
"U12","TPS92515","TopLayer","HVSSOP_(10+1)_TPS92515DGQR","78.4000mm","17.1490mm","90",""
"U11","TPS92515","TopLayer","HVSSOP_(10+1)_TPS92515DGQR","15.4000mm","19.3000mm","180",""
"U9","74LVC1G17GW,125","TopLayer","TSSOP-5","64.8250mm","10.6000mm","0","IC BUF NON-INVERT 5.5V 5TSSOP"
"U8","74LVC1G32GW,125","TopLayer","TSSOP-5","64.8000mm","15.4000mm","0","IC GATE OR 1CH 2-INP 5TSSOP"
"U7","74HC08PW","TopLayer","TSSOP-14","58.2000mm","16.3000mm","0","IC GATE AND 4CH 2-INP 14TSSOP"
"U6","LTC6993IS6-3","TopLayer","TSOT-23-6","46.6061mm","18.3000mm","270","IC MONO MULTIVIBRATOR TSOT23-6"
"U5","LTC6993IS6-1","TopLayer","TSOT-23-6","37.2061mm","18.2000mm","270","IC MONO MULTIVIBRATOR TSOT23-6"
"U4","74HC2G14GV-Q100","TopLayer","TSSOP_-_6","29.5061mm","18.2000mm","270",""
"U3","LTC6993IS6-1","TopLayer","TSOT-23-6","49.0061mm","25.0000mm","270","IC MONO MULTIVIBRATOR TSOT23-6"
"U2","LTC6991","TopLayer","TSOT-23-6","39.6061mm","25.0000mm","270","IC OSC SILICON 977HZ TSOT23-6"
"U1","74HC2G14GV-Q100","TopLayer","TSSOP_-_6","31.9061mm","25.0000mm","270",""
"TB2","1771114","TopLayer","Phoenix_1771114","55.2000mm","4.8745mm","180",""
"TB1","1988956","TopLayer","PHOENIX_1988956","29.8000mm","4.1000mm","270",""
"R34","0603","TopLayer","R0603","69.6000mm","28.3000mm","90","Resistor"
"R33","0603","TopLayer","R0603","83.3000mm","13.3000mm","0","Resistor"
"R32","0603","TopLayer","R0603","76.7000mm","12.4490mm","180","Resistor"
"R36","0603","TopLayer","R0603","74.2000mm","11.6490mm","90","Resistor"
"R31","0603","TopLayer","R0603","71.7000mm","15.7490mm","0","Resistor"
"R30","0.1","TopLayer","R1206","73.8000mm","19.1490mm","90","SMD 1206 0.125W 5% 200V"
"R29","0","TopLayer","R0805","68.8000mm","19.3490mm","270","SMD 0805 0.1W 5% 150V"
"R28","0603","TopLayer","R0603","15.3000mm","30.3000mm","90","Resistor"
"R27","0603","TopLayer","R0603","18.9000mm","24.1000mm","90","Resistor"
"R26","0603","TopLayer","R0603","20.1000mm","17.6000mm","270","Resistor"
"R35","0603","TopLayer","R0603","20.8500mm","15.1000mm","180","Resistor"
"R25","0603","TopLayer","R0603","16.7000mm","12.6000mm","90","Resistor"
"R24","0.1","TopLayer","R1206","13.3000mm","14.7000mm","180","SMD 1206 0.125W 5% 200V"
"R23","0","TopLayer","R0805","9.1000mm","11.2000mm","270","SMD 0805 0.1W 5% 150V"
"R22","0603","TopLayer","R0603","57.8000mm","10.6000mm","90","Resistor"
"R21","0603","TopLayer","R0603","62.0000mm","11.4000mm","90","Resistor"
"R20","0603","TopLayer","R0603","46.6000mm","15.7000mm","0","Resistor"
"R19","0603","TopLayer","R0603","49.6000mm","17.5000mm","90","Resistor"
